audience_id,age,gender,frequency_segment,distinct networks,distinct programmes,seconds_streamed
0rXbd5CkFN06eJZtKcU9hDfALXO-n8wTMkd3RUFKiq4,35+,female,B. 2-5 days per week,1,3,16878
3PPUU5XGP7tTQXF0CSHICUb0l5Do8I1-bCvwg7r1Wz0,16-34,female,F. less than monthly,1,2,287
5dVZLJNLhNHuyh8tVen7SfT-UpZCqNo7E5vUew2BzkA,35+,male,E. monthly,1,2,29
8Gm9T_MZSjmv_b3TY2NCnqQATEi3WnVhXaQKgiCyD-I,35+,male,E. monthly,2,3,10374
0mRGP-hAbN4s3L7xAiEgP6BZK8dTBoCdvsf_6rGYpCo,35+,male,C. 1-2 days per week,3,5,2360
2Z1gvh9SjVymEC6PF_yg8uUJIY40TFigolijQlNnokk,35+,,F. less than monthly,1,1,244
4YE5lWVGLMJe5jFkTDwAzsPB6e8bfhqkWS5QFseuXJQ,16-34,male,F. less than monthly,1,1,490
6OyC6E117a8gbEmFFPtyVjj367dQwDJYA_zmdM7UUXw,,,C. 1-2 days per week,5,6,4869
89vaTcxVxQpZHZMpOyMDd0NIV9AQbe9vvbENOXsPkyo,35+,male,D. fortnightly,1,1,21
0hNNhx6KeR1CEhyGGCv6dpvoajZftBYP1-T8ZIXfzY4,35+,female,B. 2-5 days per week,1,5,340787
2Yf-wAs24rh76wvRbepw-eLVu3o5nEHJc-iUI_lA_Gg,,,F. less than monthly,1,1,518
4U9VCja_ncpb8J4oJDkNp0NJvCLh51OtdGYnwvUy7gA,35+,male,F. less than monthly,1,1,15
5pl9yc3Pmv8IAADCW_xU95pGkgWGS6EwKxZxJU3Ndx8,35+,male,D. fortnightly,1,2,3082
7WxisIqcn66NN4V4g55TkKqkZcAPfYoP2auraq854g8,35+,male,F. less than monthly,1,1,158
990MivQicEo3ey73mN0Kpxrg_XtcIPYP99cv1qDWs9Y,16-34,female,F. less than monthly,1,1,3822
AzaF-nwmVsvDRmS6a3dpS7V8ausLWp3Xt7PZ4to1Fas,35+,male,E. monthly,1,1,1300
0sOx3V5aEL9YbulUxy3VZD7SJSqlzpVMJGWr_N5G0tw,35+,prefer not to say,E. monthly,3,5,7473
2_Sos1N0JDCMdj109JX-JtfMSszy1UjPdTpY2kt4zKs,35+,female,E. monthly,1,1,1908
4Vn42IWFB7OSG9XTqCBk92uy7x1uPqdgHQUxXV1UCSw,35+,male,E. monthly,1,1,1376
6mYYYTkpAFYaWjprwgN1-t9JQJyzk4ps0qXMaZSBl4A,16-34,female,F. less than monthly,1,1,32
0pyLGehX8wIQMnD6YF6IJQXVQWAhj4-3MgRkNfvSVd4,35+,male,C. 1-2 days per week,4,17,29128
2Vaf7UqU4xYbke_B9o8ZG7U9iLM1n1rn8tXUAaexecQ,16-34,male,F. less than monthly,2,7,40724
3quYr5Zr_E9hmBhwCGsNzuGNeXnTNARxJU7PYa-MK-U,35+,female,F. less than monthly,2,2,215
5_iLlyjxEnjsS3ezV5fsrIueBKPbb4n8XfJ5QyvdTro,35+,male,C. 1-2 days per week,1,1,3107
