audience_id,frequency_segment
25q8eGoZeAKf2W-VKJZxLRUiHfDZToFvgjns3detksI,E. monthly
612v2SVswCxfF-rqkmA12I0yDSx2N9cNBQfRlWMZIHs,B. 2-5 days per week
7TfZN2ynVUXIDcWoQmA695jBuyJJ-QCUGAT0x4ITmWw,C. 1-2 days per week
1AcdyKDaTj_Zo3Soa2PJHmwpoXaa6reAfzfRX-ytwmo,F. less than monthly
1UIvYMwOLDsDMBL6nH2KMRbp41cqOQw5wZ-MzM3PahQ,F. less than monthly
D5Uo0Ct7zIvh0nRRIOkGzemQ04tfZPbQLLr-NMqrXp0,C. 1-2 days per week
G72r-n--7cPXFSSOZVQHiUu2VRaufji2Xe4oF4P8ZpU,E. monthly
6o6FoaDhsSIwTvo__1eh2KbwN1qgV9OzaPn4izcuD10,D. fortnightly
19bbBX7zmddy-pMyxR6H318jLUOnzSNTm4SUJizbSrU,A. daily (5+ days per week)
3XwsylBmKiCRoAPHb1xTm0lbU-j-85s0xIli5330JZU,D. fortnightly
AlfxxUQXzXzutZE3OO96pSagOWQ-VroeP17W8waYX-U,D. fortnightly
0G5Ibb_0wex9EUsFAsJAxbYO0Tuh57z-H9kAqrQ10QU,E. monthly
BIWDX0EJhgyof00zw1YxB58RUt0GNeCxH9YfU1BQp1E,D. fortnightly
61kkyr9ar5-u_W2ZHh_jywH1TCKaGoxhBDKoGrxNPZQ,B. 2-5 days per week
1QQnIGXLhpoNdij-rDHr_MdJQXWX2cDwKwkDIQ_lMv8,B. 2-5 days per week
E-OJqReRKdjppVhKgSnGLPCFOnB1n8eqwBArvxnBzzE,C. 1-2 days per week
1hBdF_kYk-H5g9Q1LEbEqFFLsn0Z1PasVfh2mT957tE,B. 2-5 days per week
1PYqBgSTF5kqL4Gyp8NPzdCuuYBuTTyJrDWcKuXVp-U,D. fortnightly
Awl2uwBiIrGxNUSnG1IllXer5QHIjeXqbJr_X_Auxg4,B. 2-5 days per week
B8K1QhzyXqwUy4YWicAIaEuL0OYtJeLEMwPIiHBWUTQ,B. 2-5 days per week
755_gqMPS7sVFz0Hzmk4xf8z5Ycx2G6msBH0fNDGtek,C. 1-2 days per week
EJTKm58OOW4LdqdFVRPFvuWL1GHTYs_PoeuWGmR3D5g,B. 2-5 days per week
8EnYYdQ1TWyzUFz29-SzgEpJZPsjAT6sxvjLR1rWOCQ,B. 2-5 days per week
