audience_id,distinct networks,distinct programmes,seconds_streamed
0R_mdWf3Cwop3PiAvXMvjbJOU3bkhD06eY1M2PQ1elY,6,17,71951
5EVTvdk_O_EGUnp7Y6L8CNLedBoIqOk8RPboIYkhEdU,5,10,90153
DZFxoERIXwWAo0dZpcowyLgsDq_rr7xTNvv9Vb4livs,2,38,465930
4X1784xZVrMZiGBuHcmpGouCt0TJ0d5CHjNrAxoO2WE,1,1,501
982VJHYR4X4jO_GWSl08PTe9a3bZH9B6oRiezD3R_iQ,3,30,43463
ApnLH4Eb7gYwNUsdARPKmG5VjtbVZlSRXQEcbqq0yIQ,2,8,55622
3XdrePIEg2wk_AqxzhdYI829rnrUCEljUBbBQ0jQaIc,2,2,3386
2NN1Kpvnb3jJj75ApHlbdCbf1hJTTQnGStCygD3LnuM,1,1,4330
1rQSZq_1PJYYglrqIobTF1RB5dppwBcRumxq4ChcilI,1,1,9
2EqCn6-eKGOH9Abpab6Hldxn6soOEQrh21zjEXouNSM,4,16,69757
803GiVg-x5-KdHDmsfpgcK2hZPi7PrndMqr81FCo9to,3,8,18587
D8L-QcvFXcpVY9X1pnwLObAs2iqLTC7d9FJAFwxjd7A,1,1,3241
09qP5uXo2lDE9uFNcUKLBaLuTbNJMiy4yoLmMitJOTc,4,17,82759
0FtFj55r9utiJI4lYsB5UQzzUhBEDS73XfHHAfXa1kY,1,1,1265
4hVkpgO_iIgv1izkIB_v4q28JErLSXKkswmSlt2hyZE,1,2,27
BPriPI4uafo2Wx1KydGWfO8fE4vb41zzsYUJDuuoUKM,1,3,17787
66ut1lIO7A9HMVjQy3IY7uGixNqOz6Iax4cpUl2Rcns,4,15,134405
3EYbOaBVY8fXvJ2gGM-haAYUOnW6GqSgoCtMigJP3qA,2,12,76349
47ei9HD4tAGNRW4Vtq6N7gRrVOA8rb4IsH3f_J-ZyiY,3,18,180357
8FYkQxSjGvWbn7ZqE1KJGOpbRTlO3KwTXGHaNOUytBY,10,20,173200
1MPDfzZ_sa4Z8UlgV0lZeZh4w1zxMU1ZlyHjlcrv4iY,2,4,6104
48X3v1-mETAno1cqzeuZCKw3aamkFLwqPVf8TlBkMs4,1,24,312846
0IcnidU0Eh7J0D2t0UiWY4-loka5dfQx4CfWbme8Rus,3,26,148828
5n3nfJpAwZnf06DpCu2_DXMPhMUcqvnuV0SbFWWGuao,3,11,33545
0r4BiFEL7_-__Rat6kGtuY90BD38w0QxCa4ivoeDIQw,3,8,12147
2g89-1elcV2vrgduN_HDYsBfEllaSeBfZaMMGgX5fgY,2,11,155206
AFP4D6RiUFtgXZxp2JeVcMV-6jmEdt7c1ASsf1odnW8,1,6,105984
3im94WVBBt3MFDV-6AQRu0A2tI0wK7H4j84q4mp2jf0,1,1,256
8RM7vcSHDbrS5wXvWtmMVTtcDCnKVVOdyMNvFHiLn7c,3,6,84434
3dUmtIM_Td0uKgqavmVhdxo7Hxt1E6LB8hfmxuXY7PY,1,21,90650
9OX8Iao-mgsZqVVmtJsM10bF3GizeYcLHz2IHGdXzO0,2,7,57423
2EYKAbKUV9iNZBWi_NTZiSb-3C2MYzBBf0-xMXdHiVw,3,35,116257
8J1t2j3kh4-Xsx5CTR5SJeZnjBcCIChkPgXsKHU_xqk,2,19,53973
04r_oZSAFZXtm889h81YzfJJQSvqiEMktFItSsJYhnQ,3,6,10235
6Mi4PCm9z4K_5qtgvFlIyVQIza2qT4EUzvF7LH1n1u4,3,5,176971
AqWY9Z4ybKPb5vY4suMFYVlbxr52b1duG4mKQkasgaM,4,16,34573
FvrXDpXMkaas0SqqJ-D_w-bMMM9Vs-W5R1LqwqkgShc,4,5,40754
7Gqmy4b27B7Ry-6Igz9q1-V8j3Y_J8yU6C3RVs7bnyY,4,5,27849
Dl_AhGCfXX0I9yihYKeBkiy3vVsHr1vezwZNc1COU84,1,2,43
7Y_LAVqd-cD41qi9l-M9kWIj6XOJChq5fyTqUhMhxqA,1,2,12132
4LDCOzSVKgW6p_nH3oPB2wYy9CRkCDvvvNe5k4mxIWE,1,1,347
82_gOwuvP8zjUo-G6ZImHl6E0iUnhKUyuH1DUEcEkOQ,1,2,12624
5HsiM-8UmP_OWNwe3FOYB70DZrGTlVGATHuZ0c6LWqc,1,8,31969
5vaVCUFbkyJ5wy3EDSuuB9HDxgneM6ZCJGXrEHM5T40,1,1,2518
17ceLvCK4jPw7bAlrR-0kUZkc56I9DVgx2IAYPjvsA0,1,1,13270
4dVu8E7ApU0JZ-9wufDHg1iXCvNs11pWzpui9Y40FdU,3,8,4192
80SutqwhFKnb6Os5sgcFmDPxszlEaCwr9ENhGkwD3TQ,1,1,60
73Firuo1Wt0Yz3Cw30vkfqYCwNxg86dy_D5KjPzigUs,2,7,25419
0GfS5nnGXMfokqIMUVlz7qWuxFlz2S86Q8RWj6ZloCw,3,7,5945
9sY7RGO5Mo_-I3_tLvqEhNWo9Vsj2RsSj5PCL-GpQqc,4,11,11724
5bbnNEY9q3XyBihty5vEs14b94dkfLY4FYceOeiRRQ8,2,3,35823
4rGiMwzXBJwiBe_j7a3AaYzyTqF3PciYoSgtKuYftZc,1,3,21187
4KDHbrVif-W4-D6-A_ey3Yvp4f0PxqwVrwlwM2Yy2Ho,1,4,12321
9zWrMpyk_BBDKuh59ESnY_xGjntotGdzFvEWTEWK6eQ,1,1,813
1SeawsgUHBHBtZgr8vuYoPONFE6n7d3ih4dzLUSl_ss,3,7,34912
7Ogz0AhI7OSW6mf-kXP9bkoRGEz0o_E0uJaK_66tzUg,1,6,73460
2lhC6yRy4vLhHQiYM4EI_r5LY0lu3XxZSzfT3yiL0eU,4,24,73678
0-HcQ3fup1BuxQjCU1LKpWXmNgGSJPwwJW8xk9q3DaI,1,1,31759
0lEUAwlL4bf046V1e-9CWAuCnFnBZS1uGX2SrkrRE54,1,9,112627
12PZK8gZYfd0bEpoVL2Zvskje6A-9KVfxRNDsdz3xBs,2,3,4166
8uiXfVwm60yrab-r0qUZtFWb6bw8afPc53EGu8IsRyA,2,3,8095
0KyGCzSQYZp2vDD1lIpM4PWW5j5Iunshvai9AsLkGWg,1,1,95
AsAbjeGr0PU7iL25KuTtTiZziS711Y1yL3ooBU8ZFgQ,4,5,14971
1bwLHtKbgwtn8Lwox03fJCmSUWUlZ4XY4HZqhJpd15c,2,4,24488
2f0xP30G7l61yqGUBx72Qjl5PCtMYmuXtB-eSM4ff2g,3,6,633
9yxVF3hAFXAYngWwOFRjJJIkaQFYp0sKc4pP4cTneyU,3,9,34757
